date,supply
2020-02-10 02:00,8095372.609
2020-02-11 03:00,8095372.609
2020-02-12 01:13,8095372.609
2020-02-13 02:13,8137763.813
2020-02-14 03:13,8183257.509
2020-02-15 01:26,8235945.255
2020-02-16 02:26,8235945.255
2020-02-17 00:40,8235945.255
2020-02-18 01:40,8283632.443
2020-02-19 02:40,8336471.275
2020-02-20 00:53,8406735.778
2020-02-21 01:53,8406735.778
2020-02-22 02:53,8479547.082
2020-02-23 01:06,8599825.844
2020-02-24 02:06,8758420.943
2020-02-25 03:06,8961103.979
2020-02-26 01:20,9178632.582
2020-02-27 02:20,9326102.36
2020-02-28 03:20,9454625.329
2020-02-29 01:33,9631120.207
2020-03-01 02:33,9806370.458
2020-03-02 00:46,9956180.375
2020-03-03 01:46,10158143.37
2020-03-04 02:46,10459815.39
2020-03-05 01:00,10991656.33
2020-03-06 02:00,11606800.44
2020-03-07 03:00,12206769.5
2020-03-08 01:13,12799487.99
2020-03-09 02:13,13244592.96
2020-03-10 03:13,13480262.33
2020-03-11 01:26,13656514.91
2020-03-12 02:26,13656514.91
2020-03-13 00:40,13419461.16
2020-03-14 01:40,12879810.67
2020-03-15 02:40,12324176.27
2020-03-16 00:53,11761991.84
2020-03-17 01:53,11175491.45
2020-03-18 02:53,10631720.39
2020-03-19 01:06,10115664.35
2020-03-20 02:06,9705320.977
2020-03-21 03:06,9384733.786
2020-03-22 01:20,9074988.901
2020-03-23 02:20,8766561.303
2020-03-24 03:20,8628906.468
2020-03-25 01:33,8732206.138
2020-03-26 02:33,8846089.072
2020-03-27 00:46,9055391.556
2020-03-28 01:46,9318124.6
2020-03-29 02:46,9532579.508
2020-03-30 01:00,9607242.751
2020-03-31 02:00,9683579.601
2020-04-01 03:00,9785590.927
2020-04-02 01:13,9971080.334
2020-04-03 02:13,10217840.31
2020-04-04 03:13,10388307.65
2020-04-05 01:26,10596760.6
2020-04-06 02:26,10840399.66
2020-04-07 00:40,11085213.6
2020-04-08 01:40,11307997.22
2020-04-09 02:40,11515045.78
2020-04-10 00:53,11676874.33
2020-04-11 01:53,11797680.93
2020-04-12 02:53,11797680.93
2020-04-13 01:06,11868989.53
2020-04-14 02:06,11868989.53
2020-04-15 03:06,11942059.91
2020-04-16 01:20,12015635.42
2020-04-17 02:20,12147111.6
2020-04-18 03:20,12316855.79
2020-04-19 01:33,12484307.81
2020-04-20 02:33,12689061.18
2020-04-21 00:46,12894459.38
2020-04-22 01:46,13104014.79
2020-04-23 02:46,13451471.56
2020-04-24 01:00,13851662.88
2020-04-25 02:00,14140109.68
2020-04-26 03:00,14487220.43
2020-04-27 01:13,14961501.77
2020-04-28 02:13,15518362.81
2020-04-29 03:13,16148116.92
2020-04-30 01:26,16928024.94
2020-05-01 02:26,17446104.38
2020-05-02 03:26,17912721.65
2020-05-03 01:40,18475980.29
2020-05-04 02:40,18857121.85
2020-05-05 00:53,19058972.57
2020-05-06 01:53,19311665.6
2020-05-07 02:53,19563791.45
2020-05-08 01:06,19803324.62
2020-05-09 02:06,19952422.06
2020-05-10 03:06,19787740.31
2020-05-11 01:20,19479187.26
2020-05-12 02:20,19252065.02
2020-05-13 03:20,19013247.46
2020-05-14 01:33,18816471.18
2020-05-15 02:33,18628076.36
2020-05-16 00:46,18490872.96
2020-05-17 01:46,18490872.96
2020-05-18 02:46,18614803.54
2020-05-19 01:00,18843063.87
2020-05-20 02:00,19144291.74
2020-05-21 03:00,19448124.79
2020-05-22 01:13,19688136.47
2020-05-23 02:13,19946433.52
2020-05-24 03:13,20080595.57
2020-05-25 01:26,20080595.57
2020-05-26 02:26,20080595.57
2020-05-27 00:40,19939579
2020-05-28 01:40,19806689.02
2020-05-29 02:40,19806689.02
2020-05-30 00:53,19806689.02
2020-05-31 01:53,19806689.02
2020-06-01 02:53,19806689.02
2020-06-02 01:06,19806689.02
2020-06-03 02:06,19806689.02
2020-06-04 03:06,19806689.02
2020-06-05 01:20,19693112.92
2020-06-06 02:20,19693112.92
2020-06-07 03:20,19693112.92
2020-06-08 01:33,19594469.8
2020-06-09 02:33,19443400.25
2020-06-10 00:46,19271281.6
2020-06-11 01:46,19072666.4
2020-06-12 02:46,18902405.24
2020-06-13 01:00,18755988.12
2020-06-14 02:00,18593628.35
2020-06-15 03:00,18466221.59
2020-06-16 01:13,18325463.25
2020-06-17 02:13,18325463.25
2020-06-18 03:13,18325463.25
2020-06-19 01:26,18325463.25
2020-06-20 02:26,18325463.25
2020-06-21 03:26,18325463.25
2020-06-22 01:40,18325463.25
2020-06-23 02:40,18325463.25
2020-06-24 00:53,18325463.25
2020-06-25 01:53,18495672.98
2020-06-26 02:53,18756048.46
2020-06-27 01:06,18978525.33
2020-06-28 02:06,19489908.53
2020-06-29 03:06,20100027.54
2020-06-30 01:20,21405886.37
2020-07-01 02:20,23470738.17
2020-07-02 03:20,27056776.09
2020-07-03 01:33,30576974.46
2020-07-04 02:33,33283371.2
2020-07-05 00:46,36887872.86
2020-07-06 01:46,40861121.34
2020-07-07 02:46,44524726.93
2020-07-08 01:00,48423408.35
2020-07-09 02:00,53646902.16
2020-07-10 03:00,62017170.8
2020-07-11 01:13,74047748.84
2020-07-12 02:13,89839888.95
2020-07-13 03:13,114267479.7
2020-07-14 01:26,130739374.4
2020-07-15 02:26,139076241.3
2020-07-16 00:40,148117119.1
2020-07-17 01:40,161759834.8
2020-07-18 02:40,186313799.9
2020-07-19 00:53,213932214.2
2020-07-20 01:53,247330869.1
2020-07-21 02:53,292257045.9
2020-07-22 01:06,340981448.3
2020-07-23 02:06,390475726.4
2020-07-24 03:06,424355357.7
2020-07-25 01:20,467297441.1
2020-07-26 02:20,531721351.6
2020-07-27 03:20,616895290.7
2020-07-28 01:33,696691380.3
2020-07-29 02:33,751490791.3
2020-07-30 00:46,780675794.4
2020-07-31 01:46,764417855.7
2020-08-01 02:46,750553646.6
2020-08-02 01:00,766632269.8
2020-08-03 02:00,779024480.7
2020-08-04 03:00,779024480.7
2020-08-05 01:13,766813832.7
2020-08-06 02:13,754786399.7
2020-08-07 03:13,736265907.1
2020-08-08 01:26,715863004.7
2020-08-09 02:26,690388717.2
2020-08-10 00:40,668314534
2020-08-11 01:40,653077336.7
2020-08-12 02:40,631828952.5
2020-08-13 00:53,623909960.2
2020-08-14 01:53,609018582
2020-08-15 02:53,590182769.9
2020-08-16 01:06,570190523.2
2020-08-17 02:06,548491681
