,Unnamed: 0,snapped_at,price,market_cap,total_volume,total supply,circulating_supply,date
176,176,2019-12-22 00:00:00 UTC,1.0286439087740051,1492232.0864363413,834702.8795562861,8095372.609332069,1450678.9703492885,2019-12-22
177,177,2019-12-23 00:00:00 UTC,1.0495744448327788,1515515.4904712124,882472.3026658703,8095372.609332069,1443933.2988072787,2019-12-23
178,178,2019-12-24 00:00:00 UTC,1.02411782458263,1482866.024266436,758794.1006261999,8095372.609332069,1447944.7468564126,2019-12-24
179,179,2019-12-25 00:00:00 UTC,1.0188888624606234,1460944.4105582559,832235.356896363,8095372.609332069,1433860.418328713,2019-12-25
180,180,2019-12-26 00:00:00 UTC,1.0335082070491564,1497702.591585831,731716.6386813042,8095372.609332069,1449144.3622513937,2019-12-26
181,181,2019-12-27 00:00:00 UTC,1.0206672540490371,1570316.0607208328,843512.0904593666,8095372.609332069,1538519.0957104892,2019-12-27
182,182,2019-12-28 00:00:00 UTC,1.021450443344805,1578568.3364019713,851225.5184562749,8095372.609332069,1545418.4260108087,2019-12-28
183,183,2019-12-29 00:00:00 UTC,0.9999838149805532,1641165.7668749222,716583.848502218,8095372.609332069,1641192.3296046928,2019-12-29
184,184,2019-12-30 00:00:00 UTC,1.0230302119442451,1682034.9861670902,765703.3150601353,8095372.609332069,1644169.4160433658,2019-12-30
185,185,2019-12-31 00:00:00 UTC,1.0178855586007305,1661922.6187594696,837510.352564109,8095372.609332069,1632720.5005679475,2019-12-31
186,186,2020-01-01 00:00:00 UTC,1.0106050314259771,1662299.446033184,921344.04807387,8095372.609332069,1644855.6996472275,2020-01-01
187,187,2020-01-02 00:00:00 UTC,0.9944079976944342,1632885.097761476,815053.5499759702,8095372.609332069,1642067.5432492204,2020-01-02
188,188,2020-01-03 00:00:00 UTC,0.9966477671311732,1630471.7780019697,980783.9232155423,8095372.609332069,1635955.8830851985,2020-01-03
189,189,2020-01-04 00:00:00 UTC,1.0129343240128468,1663431.4692389271,955048.0538682295,8095372.609332069,1642190.8408129234,2020-01-04
190,190,2020-01-05 00:00:00 UTC,1.0461174010367214,1713040.7985061137,1303148.2499601543,8095372.609332069,1637522.5159322072,2020-01-05
191,191,2020-01-06 00:00:00 UTC,1.0493972836568046,1718348.0253468312,1111936.3943284345,8095372.609332069,1637461.8574949547,2020-01-06
192,192,2020-01-07 00:00:00 UTC,1.0501157804109478,1716897.456277349,1372830.5272900644,8095372.609332069,1634960.15230384,2020-01-07
193,193,2020-01-08 00:00:00 UTC,1.0458778835398024,1712926.8985696053,1413950.0539527875,8095372.609332069,1637788.6228669041,2020-01-08
194,194,2020-01-09 00:00:00 UTC,1.0251550493738897,1677275.1190511088,1381874.5335199027,8095372.609332069,1636118.477956578,2020-01-09
195,195,2020-01-10 00:00:00 UTC,1.0434718686776296,1705843.9237652991,895729.9662449999,8095372.609332069,1634777.1080087477,2020-01-10
196,196,2020-01-11 00:00:00 UTC,1.0512024124761163,1740693.4152849119,107570.40049441913,8095372.609332069,1655906.982923197,2020-01-11
197,197,2020-01-12 00:00:00 UTC,1.0033277084929768,1676544.4060696815,101379.29444184713,8095372.609332069,1670983.8588908233,2020-01-12
198,198,2020-01-13 00:00:00 UTC,1.0005499307739978,1664870.4494685873,95833.45260725699,8095372.609332069,1663955.3891935104,2020-01-13
199,199,2020-01-14 00:00:00 UTC,0.9889241660302124,1642516.0932664075,115866.28609591135,8095372.609332069,1660912.0796995747,2020-01-14
200,200,2020-01-15 00:00:00 UTC,1.0107482271138164,1673632.459590745,100289.1386661297,8095372.609332069,1655835.16715116,2020-01-15
201,201,2020-01-16 00:00:00 UTC,0.9899992245883537,1648282.3985560655,114272.30949846687,8095372.609332069,1664933.019762141,2020-01-16
202,202,2020-01-17 00:00:00 UTC,0.9822324356993286,1633095.0104989938,157953.37930430187,8095372.609332069,1662636.0025835074,2020-01-17
203,203,2020-01-18 00:00:00 UTC,0.9841349383719712,1640277.1828171448,175674.26083124886,8095372.609332069,1666719.7950827887,2020-01-18
204,204,2020-01-19 00:00:00 UTC,0.9808829942056126,1630915.5466485969,96414.8314404792,8095372.609332069,1662701.4193159968,2020-01-19
205,205,2020-01-20 00:00:00 UTC,0.969095460730114,1612862.0549472696,146889.54428674493,8095372.609332069,1664296.3673900026,2020-01-20
206,206,2020-01-21 00:00:00 UTC,0.9660150527217576,1605322.4902512087,174591.25478078614,8095372.609332069,1661798.6290464064,2020-01-21
207,207,2020-01-22 00:00:00 UTC,0.9680435315983904,1615625.0024496515,180775.97185201853,8095372.609332069,1668959.0392510586,2020-01-22
208,208,2020-01-23 00:00:00 UTC,0.9898451916970624,1645502.7515797175,103412.45899004066,8095372.609332069,1662383.941834933,2020-01-23
209,209,2020-01-24 00:00:00 UTC,0.9778227644561941,1620196.3989652153,179271.49128031643,8095372.609332069,1656942.8099439582,2020-01-24
210,210,2020-01-25 00:00:00 UTC,0.977132443537261,1626048.9010150274,159162.5957165276,8095372.609332069,1664102.867292648,2020-01-25
211,211,2020-01-26 00:00:00 UTC,0.96321731564474,1606508.827275515,185177.73835853225,8095372.609332069,1667857.0880966575,2020-01-26
212,212,2020-01-27 00:00:00 UTC,0.9748731427494399,1671208.436462177,172389.54731175394,8095372.609332069,1714282.9801925395,2020-01-27
213,213,2020-01-28 00:00:00 UTC,0.9721594931646418,1665925.259193904,96805.75739997934,8095372.609332069,1713633.6896437304,2020-01-28
214,214,2020-01-29 00:00:00 UTC,0.9949909908050644,1711515.060535239,137535.43168225655,8095372.609332069,1720131.2136006604,2020-01-29
215,215,2020-01-30 00:00:00 UTC,0.9805994922296292,1691908.3019289572,96165.61738002973,8095372.609332069,1725381.5806920277,2020-01-30
216,216,2020-01-31 00:00:00 UTC,0.9973615437641614,1709981.7219537431,101075.23749455619,8095372.609332069,1714505.3693368486,2020-01-31
217,217,2020-02-01 00:00:00 UTC,1.0012545090512148,1820754.8436251385,116941.9332790544,8095372.609332069,1818473.552094641,2020-02-01
218,218,2020-02-02 00:00:00 UTC,1.0069436262837743,1829700.6604868528,101196.83089288484,8095372.609332069,1817083.5116555085,2020-02-02
219,219,2020-02-03 00:00:00 UTC,1.0011153918530928,1820733.1785786662,106850.43625872972,8095372.609332069,1818704.6102731852,2020-02-03
220,220,2020-02-04 00:00:00 UTC,0.9973743758337618,1798526.281738149,92473.57229230102,8095372.609332069,1803260.9673119574,2020-02-04
221,221,2020-02-05 00:00:00 UTC,0.9705216547696952,1763642.3771605843,109749.2053756578,8095372.609332069,1817210.7427928506,2020-02-05
222,222,2020-02-06 00:00:00 UTC,0.9910672117262364,1803544.2283233071,209470.94759924847,8095372.609332069,1819800.117473266,2020-02-06
223,223,2020-02-07 00:00:00 UTC,0.9898433448530164,1800291.421469047,230552.1174336697,8095372.609332069,1818763.980007741,2020-02-07
224,224,2020-02-08 00:00:00 UTC,0.9936505776528941,1807594.9437820902,211884.27013269122,8095372.609332069,1819145.4666607424,2020-02-08
225,225,2020-02-09 00:00:00 UTC,0.9893132285750076,1798705.5164879588,210419.36404686546,8095372.609332069,1818135.5151581145,2020-02-09
226,226,2020-02-10 00:00:00 UTC,1.0087294060062797,1832324.2771926047,214465.70191842032,8095372.609332069,1816467.594066746,2020-02-10
227,227,2020-02-11 00:00:00 UTC,0.9882700694001112,1798188.7269094554,204697.3858746565,8095372.609332069,1819531.707563472,2020-02-11
228,228,2020-02-12 00:00:00 UTC,1.019662708257184,1852115.8872701426,170120.54491632828,8095372.609332069,1816400.533501705,2020-02-12
